窗口,配置,累计,年化,波动,最大回撤,Calmar,夏普,索提诺,平均仓位,换手
2025全年,AB2 ×1.20 + 波动25%双向,0.37548259493272895,0.37911142496569483,0.20757634584947757,-0.13409351705312844,2.827216656682136,1.6524351875483063,2.696550283925823,0.7074423423606633,16.39460082034067
2025全年,AB3 ×1.20 + 波动20%双向,0.37344192052150005,0.3770484698818102,0.1886806547287301,-0.11997942479118395,3.1426094143894674,1.790285989594281,2.9622165522249846,0.6605415347444328,15.648202703542122
2025全年,B1 波动目标30% 只降,0.3732436781056898,0.3768480643474057,0.1977971060927825,-0.1210477728795174,3.1132176609518885,1.7157816843598923,2.8426565727713324,0.6778896092209546,17.096824139540683
2025全年,AB1 ×1.10 + 波动25%双向,0.3613626376565966,0.36483782193164704,0.1987981970183744,-0.12960298476379506,2.8150418186477473,1.6641113907155585,2.720482556447511,0.6849175029802604,16.250432123652388
2025全年,B4 波动目标30% 双向,0.3611789322783301,0.364652125605764,0.20404429948608777,-0.13247534432152142,2.752603720136355,1.625805186203662,2.6444875325896318,0.6955705520367623,16.39466530211834
2025全年,B3 波动目标20% 只降,0.35840248774891936,0.36184561598180376,0.17188554641509737,-0.1082708109883661,3.3420421688785957,1.8830400482589595,3.1645562944507426,0.6013013972684313,15.339871017037716
2025全年,B2 波动目标25% 只降,0.35677398439332264,0.36019950021506286,0.1850730161686649,-0.11752152680935124,3.0649661384964566,1.7549654722913628,2.89641455927382,0.6443758785933745,16.631668596889966
2025全年,B7 波动目标20% 双向1.5,0.35364779501748056,0.3570395465948202,0.17257137211897852,-0.1082708109883661,3.2976528330722803,1.8557249570046754,3.1141682200056633,0.6110242338863716,14.932094333684379
2025全年,B6 波动目标20% 双向,0.3526691340346344,0.35605032802452374,0.17231732753091394,-0.1082708109883661,3.2885163117766205,1.853971358896962,3.1106793432815847,0.6087228059303246,15.01203214873575
2025全年,B5 波动目标25% 双向,0.3471770315758054,0.350499087783827,0.18863969617429038,-0.12308218622356215,2.847683312572888,1.68734879737673,2.7563686770722353,0.6564718677912844,16.115495699670003
2026,基准（现状）,0.7156178384994294,1.1901201777851398,0.2991988320334682,-0.15851946104294823,7.507722837025667,2.7727636263310864,4.49161366227611,0.6408446707509232,17.803481423815757
2026,A2 暴露×1.10,0.7141165982210553,1.1873373126156843,0.303910511246074,-0.16280782863544763,7.292876040219892,2.7302657818253437,4.401533901204239,0.6585874889007841,17.633434707038766
