窗口,配置,累计,年化,波动,最大回撤,Calmar,夏普,索提诺,平均仓位,换手
2025全年,B1 波动目标30% 只降,0.3594794641340151,0.3629342489245879,0.19817171290996624,-0.1214684364412888,2.9878893608712165,1.6620519900647797,2.589894854219684,0.6814255803498478,16.903437074003733
2025全年,B2 波动目标25% 只降,0.3574051138316552,0.3608374534385821,0.18533528069107233,-0.11636262674659303,3.100973770765683,1.7556685273803823,2.7476370608630716,0.6479118497222233,16.4382815313531
2025全年,B5 波动目标25% 双向,0.35338380570625394,0.35677270884047774,0.18938702009815234,-0.12254014259265555,2.911476201120909,1.7063989355986349,2.6381401443277777,0.6600501890025717,15.922021899731202
2025全年,B4 波动目标30% 双向,0.35255771052965534,0.35593770288133975,0.20471691508607665,-0.13168371575157312,2.7029743263991013,1.5903065193892343,2.4414472173443214,0.69918936604292,16.201106304689883
2025全年,B7 波动目标20% 双向1.5,0.3505448833327147,0.35390318171448465,0.17206835382807278,-0.10645466816492899,3.3244496255080884,1.8476827012853243,2.891680723736588,0.614386712056021,14.739037263909385
2025全年,B3 波动目标20% 只降,0.34824103458174704,0.3515745331623754,0.17123915558037003,-0.10645466816492899,3.3025750699601484,1.8457411097091572,2.88396335373479,0.6046638754380809,15.146813947262721
2025全年,B6 波动目标20% 双向,0.34781323706651057,0.3511421342353227,0.17183393045628914,-0.10645466816492899,3.2985132572232927,1.8380761537461046,2.8742292641274196,0.612085284099974,14.818975078960754
2026,S3 平滑后×1.20,0.3695625035615744,0.5789518551189388,0.3178754285241078,-0.15608393603732873,3.7092340814655036,1.596228040903123,2.4623239404038144,0.7132191060516271,15.018655741764144
2026,S2 平滑后×1.10,0.35732850349589484,0.5585083089616074,0.30994479648801854,-0.15509637269625576,3.6010404321666605,1.5870112930747169,2.430956149138283,0.6814750019627107,16.87008164349718
2026,S1 平滑后×1.05,0.3427435367327929,0.5342449333474766,0.3060106931453766,-0.15066729445407168,3.5458586767835856,1.55219886860075,2.357839625903499,0.661342309035882,17.490208885352104
2026,A3 暴露×1.15,0.3323999382300098,0.517109488883472,0.3078501032950944,-0.161057939232361,3.210704739847855,1.5081087519173777,2.2984289334879477,0.6657437104012774,17.32674559144767
2026,A2 暴露×1.10,0.33118543269877954,0.5151014468613568,0.30589627926714985,-0.15837570853838923,3.2524018463128033,1.5114635241039636,2.301231464079256,0.6587833647153875,17.816205685406597
2026,A1 暴露×1.05,0.3302844127283291,0.5136122517050543,0.30454949303728684,-0.15742425166606944,3.2625992899400034,1.513579064689056,2.301857499232539,0.6550332676701354,17.978967030246558
2026,S4 平滑后×1.30,0.3300193372400746,0.5131742249167854,0.3350836925386333,-0.1677818669893032,3.0585797745921153,1.4035624228042227,2.1648428861579205,0.766747023672825,13.76847945241446
2026,S5 平滑后×1.30 上限100%,0.32860406595416114,0.5108362133410014,0.36739360327329484,-0.18324119157857388,2.7877804599516405,1.3065977737962675,2.006195275434783,0.8292829574229102,11.405178913978203
2026,A4 暴露×1.20,0.3279627424470417,0.5097771252422807,0.30971902309729266,-0.1615168231403703,3.156185933642612,1.4852372040713846,2.2575965985967463,0.6709077671666717,17.265424869067864
