date,target,name_cn,layer,total,state,regime,regime_cn,score_global_fund,score_china_liquidity,score_china_macro,score_ashare_fund,score_risk_appetite,score_tech_cycle,score_tech_valuation,fwd_5,rel_5,dd_5,fwd_10,rel_10,dd_10,fwd_20,rel_20,dd_20,fwd_60,rel_60,dd_60
2026-05-14,idx_hs300,沪深300,benchmark_market,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,-0.02675682258382528,0.0,-0.02675682258382528,-7.813458560279596e-05,0.0,-0.02675682258382528,-0.03910493576584195,0.0,-0.04733632736164739,-0.044797162412299474,0.0,-0.10486143529859138
2026-05-14,idx_zz1000,中证1000,benchmark_market,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,-0.030552670102175772,-0.0037958475183504925,-0.03387638198142573,-0.016057714180980454,-0.015979579595377658,-0.03387638198142573,-0.07054044051351982,-0.03143550474767787,-0.08260375006669374,-0.1252097546461558,-0.08041259223385633,-0.2226038485326074
2026-05-14,idx_zz2000,中证2000,benchmark_market,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,-0.029778410064511762,-0.003021587480686483,-0.0368118273508089,-0.020037697890788242,-0.019959563305185446,-0.04050405318756212,-0.08294772905715742,-0.04384279329131546,-0.0938887767308968,-0.13749488684188615,-0.09269772442958668,-0.2386409119094528
2026-05-14,idx_kc50,科创50,tech_benchmark,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,0.022654430804599945,0.049411253388425225,-0.03703448976049417,0.06907221813548592,0.06915035272108871,-0.04250233513375534,-0.036320940378286926,0.002783995387555027,-0.15794575738764594,0.010973901117214968,0.05577106352951444,-0.296655366156898
2026-05-14,idx_cyb,创业板指,tech_benchmark,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,-0.030715439088465524,-0.003958616504640244,-0.030715439088465524,0.04402147228394848,0.04409960686955128,-0.030715439088465524,-0.03540598409572926,0.0036989516701126934,-0.0760783743325878,-0.09820558117404088,-0.053408418761741405,-0.2578622681804551
2026-05-14,idx_csi_tech,中证科技(代理),tech_benchmark,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,0.014014031127833615,0.040770853711658894,-0.031438668000988934,0.09366388689632688,0.09374202148192967,-0.031438668000988934,0.006271626177662748,0.0453765619435047,-0.10640958462258387,0.006416901969706901,0.051214064382006375,-0.32907874403455883
2026-05-14,idx_semi,半导体(代理),tech_industry,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,0.043563387175721946,0.07032020975954723,-0.04265828468792088,0.12285854136074392,0.12293667594634672,-0.04265828468792088,0.04258443465491912,0.08168937042076108,-0.15034071550255523,-0.4698972099853158,-0.42510004757301634,-0.6935108153078202
2026-05-14,idx_ai,人工智能(代理),tech_industry,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,-0.03172085646312439,-0.004964033879299112,-0.037066246056782326,0.02498017446471068,0.025058309050313476,-0.037066246056782326,-0.06740681998413955,-0.0283018842182976,-0.09712092130518235,-0.5321173671689136,-0.4873202047566141,-0.6246000710984714
2026-05-14,idx_ce,消费电子(代理),tech_industry,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,0.01447277739490005,0.04122959997872533,-0.02257636122177953,0.11647139903514825,0.11654953362075104,-0.02257636122177953,0.03239145416953826,0.07149638993538021,-0.08348680171884582,-0.016540317022742945,0.02825684538955653,-0.35624999999999996
2026-05-14,idx_comm,通信设备(代理),tech_industry,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,-0.035304501323918824,-0.008547678740093545,-0.04038630377524144,0.08649602824360114,0.08657416282920394,-0.04038630377524144,0.04854368932038833,0.08764862508623028,-0.07187500000000002,-0.10238305383936463,-0.05758589142706516,-0.38776928422515633
2026-05-14,idx_software,计算机(代理),tech_industry,3,偏强,broad_risk_on,全面风险偏好,0,1,1,1,1,0,-1,-0.048852701702442713,-0.022095879118617434,-0.052359882005899805,-0.06513693560325695,-0.06505880101765416,-0.06858407079646034,-0.16876387860843822,-0.12965894284259627,-0.17182890855457233,-0.08512213175425609,-0.04032496934195662,-0.17699115044247782
2026-05-15,idx_hs300,沪深300,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.00298317163597861,0.0,-0.015741030164460268,0.00669356466683535,0.0,-0.015741030164460268,-0.016929812846466774,0.0,-0.04733632736164739,-0.03242411452975591,0.0,-0.10486143529859138
2026-05-15,idx_zz1000,中证1000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.0011531036478016343,0.004136275283780244,-0.03387638198142573,-0.03154772722718191,-0.03824129189401726,-0.04542832200578717,-0.055265935968426216,-0.03833612312195944,-0.08260375006669374,-0.10927004577171917,-0.07684593124196326,-0.2226038485326074
2026-05-15,idx_zz2000,中证2000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,2.2473397768729697e-05,0.0030056450337473395,-0.0368118273508089,-0.04494967004174122,-0.05164323470857657,-0.05848481603575151,-0.0713565221632998,-0.05442670931683302,-0.0938887767308968,-0.12383068646648498,-0.09140657193672908,-0.2386409119094528
2026-05-15,idx_kc50,科创50,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.055716661527913436,0.058699833163892046,-0.03703448976049417,0.03246080644429128,0.02576724177745593,-0.07632445991296577,-0.019478134555943938,-0.0025483217094771637,-0.15794575738764594,0.024473238493368576,0.056897353023124486,-0.296655366156898
2026-05-15,idx_cyb,创业板指,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.002402098820482479,0.005385270456461089,-0.02526937713409605,0.02771321617565925,0.0210196515088239,-0.02526937713409605,-0.0251232863603138,-0.008193473513847027,-0.0760783743325878,-0.09973113189299032,-0.06730701736323441,-0.2578622681804551
2026-05-15,idx_csi_tech,中证科技(代理),tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.06737426882135256,0.07035744045733117,-0.031438668000988934,0.060897984693168095,0.054204420026332745,-0.05217629128233092,0.01500735309467971,0.031937165941146484,-0.10640958462258387,0.012680238350921913,0.04510435288067782,-0.32907874403455883
2026-05-15,idx_semi,半导体(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.07567567567567557,0.07865884731165418,-0.04265828468792088,0.06142506142506132,0.05473149675822597,-0.08006814310051091,0.034889434889434856,0.05181924773590163,-0.15034071550255523,-0.46879606879606883,-0.4363719542663129,-0.6935108153078202
