date,open,high,low,close
2021-01-26,3335.438,3335.438,3253.274,3258.355
2021-01-27,3269.773,3296.163,3196.088,3281.031
2021-01-28,3219.93,3248.015,3160.529,3161.863
2021-01-29,3201.669,3221.114,3070.038,3128.865
2021-02-01,3134.79,3189.852,3123.435,3159.993
2021-02-02,3176.253,3232.434,3130.763,3228.698
2021-02-03,3245.261,3276.235,3218.87,3223.766
2021-02-04,3208.646,3248.281,3155.787,3200.549
2021-02-05,3224.847,3256.722,3191.458,3193.707
2021-02-08,3202.483,3278.06,3162.587,3278.06
2021-02-09,3291.501,3339.969,3273.059,3334.242
2021-02-10,3350.324,3427.82,3314.673,3413.81
2021-02-18,3475.89,3475.998,3300.183,3320.144
2021-02-19,3289.006,3308.746,3195.954,3285.535
2021-02-22,3278.586,3278.586,3138.648,3138.672
2021-02-23,3099.189,3156.37,3090.319,3112.357
2021-02-24,3112.723,3125.24,2973.884,3007.456
2021-02-25,3040.901,3045.0,2969.033,2977.176
2021-02-26,2907.483,2961.027,2887.809,2914.113
2021-03-01,2958.53,2998.033,2935.076,2994.751
2021-03-02,3019.096,3023.208,2937.89,2966.892
2021-03-03,2951.29,2997.993,2933.834,2997.749
2021-03-04,2962.52,2962.52,2841.154,2851.873
2021-03-05,2800.25,2897.172,2800.25,2871.972
2021-03-08,2889.085,2905.469,2726.343,2728.844
2021-03-09,2717.17,2733.982,2608.241,2633.45
2021-03-10,2708.229,2720.25,2665.697,2676.702
2021-03-11,2682.948,2768.955,2677.571,2746.575
2021-03-12,2768.577,2771.866,2711.325,2756.813
2021-03-15,2737.447,2737.447,2612.449,2644.015
2021-03-16,2664.693,2678.915,2629.358,2672.117
2021-03-17,2662.926,2717.675,2631.729,2704.136
2021-03-18,2717.274,2760.789,2713.85,2748.726
2021-03-19,2697.827,2726.872,2653.998,2671.518
2021-03-22,2683.638,2729.098,2665.616,2698.261
2021-03-23,2684.643,2708.959,2641.375,2668.082
2021-03-24,2650.372,2678.402,2623.292,2634.614
2021-03-25,2609.378,2670.896,2603.937,2655.999
2021-03-26,2672.909,2754.303,2672.909,2745.4
2021-03-29,2747.856,2768.14,2716.947,2733.963
2021-03-30,2728.49,2779.866,2722.234,2771.322
2021-03-31,2770.332,2777.083,2731.221,2758.501
2021-04-01,2766.417,2819.415,2766.417,2815.413
2021-04-02,2828.352,2871.11,2820.01,2852.229
2021-04-06,2865.445,2871.867,2814.487,2831.598
2021-04-07,2843.574,2843.574,2773.674,2807.201
2021-04-08,2793.166,2838.937,2778.866,2826.99
2021-04-09,2823.78,2829.955,2772.306,2783.327
2021-04-12,2789.785,2813.487,2711.837,2719.953
2021-04-13,2719.556,2785.14,2719.556,2742.852
2021-04-14,2753.665,2809.165,2753.665,2804.409
2021-04-15,2787.247,2793.666,2761.293,2790.644
2021-04-16,2801.739,2802.618,2744.682,2783.373
2021-04-19,2777.017,2899.729,2769.65,2898.729
2021-04-20,2880.057,2922.034,2870.292,2896.108
2021-04-21,2873.362,2920.718,2867.207,2916.975
2021-04-22,2941.303,2950.228,2901.917,2939.395
2021-04-23,2938.932,3009.273,2937.944,2994.488
2021-04-26,3019.303,3057.124,2965.011,2969.405
2021-04-27,2964.027,2986.034,2946.799,2986.034
2021-04-28,2990.7,3052.039,2980.648,3050.585
2021-04-29,3053.738,3068.595,3014.553,3051.417
2021-04-30,3040.649,3110.156,3037.314,3091.395
2021-05-06,3059.584,3059.584,2961.994,3014.812
2021-05-07,3021.867,3026.849,2910.411,2910.411
2021-05-10,2920.42,2960.327,2901.08,2921.721
2021-05-11,2898.801,2932.477,2864.046,2921.343
2021-05-12,2913.064,2965.212,2887.212,2960.355
2021-05-13,2922.731,2967.616,2912.515,2943.617
2021-05-14,2954.172,3039.726,2942.98,3033.806
2021-05-17,3049.019,3130.205,3049.019,3112.741
2021-05-18,3108.634,3128.94,3068.764,3090.123
2021-05-19,3081.221,3128.601,3075.8,3114.724
2021-05-20,3113.552,3158.455,3112.556,3143.616
2021-05-21,3162.791,3171.899,3098.239,3113.259
2021-05-24,3128.776,3140.945,3075.449,3139.686
2021-05-25,3155.274,3232.739,3151.902,3227.355
2021-05-26,3226.698,3228.766,3185.769,3196.848
2021-05-27,3192.045,3238.454,3169.03,3226.108
2021-05-28,3226.081,3285.284,3215.029,3232.291
2021-05-31,3246.149,3309.749,3246.149,3309.069
2021-06-01,3290.533,3307.474,3242.905,3300.159
2021-06-02,3309.181,3310.493,3228.851,3243.022
2021-06-03,3241.158,3255.163,3201.232,3201.784
2021-06-04,3194.39,3281.264,3183.667,3242.612
2021-06-07,3240.954,3241.774,3197.91,3228.243
2021-06-08,3227.271,3275.783,3185.222,3208.572
2021-06-09,3203.147,3222.184,3183.057,3207.626
2021-06-10,3213.444,3301.16,3213.444,3285.51
2021-06-11,3305.531,3320.255,3266.357,3298.497
2021-06-15,3298.212,3306.436,3240.525,3262.188
2021-06-16,3258.603,3258.691,3122.814,3125.701
2021-06-17,3133.911,3197.543,3133.911,3188.593
2021-06-18,3210.137,3260.73,3198.289,3239.227
2021-06-21,3235.692,3288.736,3205.364,3270.577
2021-06-22,3273.631,3291.176,3220.417,3281.992
2021-06-23,3288.756,3341.962,3266.902,3318.946
2021-06-24,3326.334,3328.562,3260.031,3279.159
2021-06-25,3288.269,3355.885,3286.271,3347.699
2021-06-28,3356.219,3422.726,3345.208,3412.863
2021-06-29,3438.885,3445.872,3392.632,3406.238
2021-06-30,3418.812,3484.193,3389.96,3477.178
2021-07-01,3486.778,3500.739,3431.771,3455.359
2021-07-02,3429.606,3429.606,3329.824,3333.897
2021-07-05,3332.49,3387.099,3318.337,3352.117
2021-07-06,3359.263,3367.754,3240.869,3291.988
2021-07-07,3278.126,3419.695,3261.317,3409.589
2021-07-08,3435.311,3469.596,3418.699,3432.957
2021-07-09,3413.018,3428.297,3334.272,3409.309
2021-07-12,3453.01,3554.073,3426.013,3534.763
2021-07-13,3518.527,3560.884,3478.274,3514.977
2021-07-14,3491.42,3539.552,3464.917,3488.627
2021-07-15,3476.114,3537.391,3453.353,3537.391
2021-07-16,3525.271,3525.271,3428.976,3432.647
2021-07-19,3438.198,3482.087,3420.401,3449.526
2021-07-20,3431.001,3491.052,3418.765,3463.791
2021-07-21,3480.702,3568.698,3473.145,3560.045
2021-07-22,3572.435,3576.119,3512.718,3544.436
2021-07-23,3539.423,3542.276,3461.616,3469.873
2021-07-26,3450.903,3464.741,3292.202,3371.228
