center,scale,rho,cw,sw,avg_pos,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤
0.4,55.0,0.2,0.15,0.2,0.277217535877874,-1.2537731314148968,0.15327716141441616,0.021738633578522126,0.08303524077361091,-0.23931894428289846,0.09083540646420757,0.277217535877874,57.79261464259848,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,45.0,0.2,0.1,0.1,0.25825527021361827,-1.2545232914834774,0.15880468080605414,0.0224756303813185,0.0785262908351801,-0.22263728156160256,0.10095178230560461,0.25825527021361827,58.28401405419973,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,35.0,0.2,0.2,0.2,0.21480451845098875,-1.2571586877723258,0.1969401161933675,0.027480507566038703,0.07155290877182416,-0.1730881639754519,0.15876595449898068,0.21480451845098875,59.90475566753193,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,45.0,0.2,0.15,0.2,0.2388707050449195,-1.2585911956686904,0.16623774290005255,0.02346200531136744,0.0746352294701334,-0.20406625551108915,0.11497248897230093,0.2388707050449195,59.00100366122565,0.9956763434218654,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.2,0.2,0.3,0.2542930392670407,-1.2601877638403356,0.16068904377178983,0.022726194530685584,0.07790553769385071,-0.21836141480533588,0.10407605460399429,0.2542930392670407,58.68666254841766,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,35.0,0.2,0.1,0.1,0.225894346434982,-1.260294347876108,0.18211366248651806,0.025551004621184648,0.07259938404751946,-0.18826667463567537,0.1357170867899469,0.225894346434982,59.585600758972745,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,55.0,0.2,0.2,0.2,0.28206030798681786,-1.2632229980066927,0.15825191826055351,0.02240206379225107,0.08458953016362779,-0.24189828181682027,0.09260943742136722,0.28206030798681786,58.23379604452667,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,45.0,0.2,0.15,0.1,0.26287435625930483,-1.2643390573884115,0.16441514251947487,0.023220639495337814,0.08003486927470757,-0.22496565066889662,0.10321859993423547,0.26287435625930483,58.75384357746505,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,35.0,0.2,0.1,0.3,0.21847422959672552,-1.269390778434299,0.20076392939356436,0.027974841937090433,0.07256915772706689,-0.17714005877837813,0.1579249895817753,0.21847422959672552,60.43977954911002,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,55.0,0.2,0.1,0.3,0.2878096232611837,-1.2699158299065274,0.16008797513952944,0.0226463078492527,0.08615737140613464,-0.24790275742832935,0.0913515770626308,0.2878096232611837,58.43053795208077,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,45.0,0.2,0.2,0.2,0.24307511677002436,-1.2702906259299307,0.17180521530431858,0.02419732365838323,0.0760718153733128,-0.20628595101549674,0.11729991082410389,0.24307511677002436,59.56724870402827,0.9969116738727609,0.546852429532334,0.06799580633944835,-0.6265673853758704
