center,scale,cw,sw,avg_actual,avg_target,locked_ratio,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤,目标平均仓位,实际平均仓位,平均锁仓率
0.35,45.0,0.15,0.2,0.29238489808615653,0.31115487487634946,0.1261205023840116,-1.6862353578692173,0.20477356061375462,0.028491764709622558,0.09500262277420773,-0.23860142456773925,0.11941154484404057,0.29238489808615653,79.77132051474851,0.6639901173563928,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.31115487487634946,0.29238489808615653,0.1261205023840116
0.4,45.0,0.1,0.3,0.34630900072442,0.3662442080140039,0.1052578995901826,-1.6881050897784196,0.23943477352588993,0.03290041775445185,0.11056205456576323,-0.27624317948274724,0.11909947538272757,0.34630900072442,79.14419588957489,0.6479308214947499,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3662442080140039,0.34630900072442,0.1052578995901826
0.3,45.0,0.15,0.3,0.2638882963889339,0.28143973639843417,0.14030351858196327,-1.6920949374012457,0.21504013490039497,0.029808705509006606,0.08807919992042315,-0.21279197426735663,0.14008378657906653,0.2638882963889339,80.7753827888287,0.6868437306979617,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.28143973639843417,0.2638882963889339,0.14030351858196327
0.4,45.0,0.15,0.3,0.35148150829585406,0.3714705236136579,0.10475738163143553,-1.697966587532274,0.2534287271820097,0.03465072366942068,0.1123542407531619,-0.2777145202499478,0.12477101895224793,0.35148150829585406,79.68800255383604,0.6565781346510191,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3714705236136579,0.35148150829585406,0.10475738163143553
0.3,35.0,0.2,0.1,0.24899378394654248,0.2654927055304441,0.1514963546319955,-1.6980141307651158,0.23725481983314745,0.03262624902850697,0.08569021883652163,-0.1939383922743636,0.16822996543330518,0.24899378394654248,81.68355918282204,0.7078443483631871,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2654927055304441,0.24899378394654248,0.1514963546319955
0.35,45.0,0.2,0.2,0.2967257760979798,0.31556611808558965,0.12579046055277718,-1.6995609785441068,0.2130719740011744,0.029556974487805032,0.09653551709871275,-0.23997804613003415,0.12316532684739559,0.2967257760979798,80.45644649834473,0.6683137739345275,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.31556611808558965,0.2967257760979798,0.12579046055277718
0.3,35.0,0.1,0.2,0.25325889182121875,0.2700500913093148,0.15008028389883799,-1.70376763803318,0.242319732199344,0.033262624777287364,0.0870082614375121,-0.19799159619129447,0.1680001849429501,0.25325889182121875,81.901723235741,0.7059913526868438,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2700500913093148,0.25325889182121875,0.15008028389883799
0.35,45.0,0.1,0.3,0.3015812410079171,0.3206537389251476,0.12402524201464551,-1.7077785611782959,0.21294633992383405,0.029540893908949428,0.09797102696723159,-0.24567288966759815,0.1202448261544814,0.3015812410079171,80.72415051267231,0.6658431130327362,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3206537389251476,0.3015812410079171,0.12402524201464551
0.4,45.0,0.2,0.3,0.356743586229213,0.37669683921331165,0.10411010384763925,-1.7111516219596248,0.26743643891299995,0.036386209610135056,0.11417626993541653,-0.27952544898079545,0.13017136630244688,0.356743586229213,80.38875535396811,0.6658431130327362,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.37669683921331165,0.356743586229213,0.10411010384763925
0.3,45.0,0.2,0.3,0.2678783753958124,0.28549523465592985,0.13996193917053387,-1.7127924270202646,0.22029194084065962,0.03047872935909557,0.08955147259300604,-0.21581772214776107,0.14122440481615361,0.2678783753958124,81.76811476527398,0.6930203829524397,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.28549523465592985,0.2678783753958124,0.13996193917053387
